symbol,name,sector,exchange
A,Agilent Technologies Inc Common,Health Care,NYSE
AAPL,Apple Inc Common,Information Technology,Nasdaq
ABBV,AbbVie Inc Common,Health Care,NYSE
ABNB,Airbnb Inc Class A Common,Consumer Discretionary,Nasdaq
ABT,Abbott Laboratories Common,Health Care,NYSE
ACGL,Arch Capital Group Ltd Common,Financials,Nasdaq
ACN,Accenture Plc Class A Common,Information Technology,NYSE
ADBE,Adobe Inc Common,Information Technology,Nasdaq
ADI,Analog Devices Inc Common,Information Technology,Nasdaq
ADM,Archer-Daniels-Midland Co Common,Consumer Staples,NYSE
ADP,Automatic Data Processing Inc Common,Industrials,Nasdaq
ADSK,Autodesk Inc Common,Information Technology,Nasdaq
AEE,Ameren Corp Common,Utilities,NYSE
AEP,American Electric Power Company Inc Common,Utilities,Nasdaq
AES,AES Corp Common,Utilities,NYSE
AFL,Aflac Inc Common,Financials,NYSE
AIG,American International Group Inc Common,Financials,NYSE
AIZ,Assurant Inc Common,Financials,NYSE
AJG,Arthur J. Gallagher & Co Common,Financials,NYSE
AKAM,Akamai Technologies Inc Common,Information Technology,Nasdaq
ALB,Albemarle Corp Common,Materials,NYSE
ALGN,Align Technology Inc Common,Health Care,Nasdaq
ALL,Allstate Corp Common,Financials,NYSE
ALLE,Allegion Public Ltd Co Common,Industrials,NYSE
AMAT,Applied Materials Inc Common,Information Technology,Nasdaq
AMCR,Amcor PLC Common,Materials,NYSE
AMD,Advanced Micro Devices Inc Common,Information Technology,Nasdaq
AME,AMETEK Inc Common,Industrials,NYSE
AMGN,Amgen Inc Common,Health Care,Nasdaq
AMP,Ameriprise Financial Inc Common,Financials,NYSE
AMT,American Tower Corp Common,Real Estate,NYSE
AMZN,Amazon.com Inc Common,Consumer Discretionary,Nasdaq
ANET,Arista Networks Inc Common,Information Technology,NYSE
AON,Aon Plc Class A Common,Financials,NYSE
AOS,A. O. Smith Corp Common,Industrials,NYSE
APA,APA Corp Common,Energy,Nasdaq
